id,title,publisher,url,kind,note,visibility,checked_at
src-standard-ankake-yakisoba,かきと青梗菜のあんかけ焼きそば,全国製麺協同組合連合会,https://www.zenmenren.or.jp/cooking/01/01-02.html,industry_association,焼き付けた蒸し中華麺へ、肉・魚介・野菜のとろみあんをかける構造の確認,public,2026-08-10
src-standard-aomori-niboshi,津軽煮干しラーメン,青森県観光情報サイト Amazing AOMORI,https://aomori-tourism.com/photos/detail_80.html,official_tourism,大量の煮干し・焼き干しを用いる煮干しラーメンの魚介感と地域差の確認,public,2026-08-10
src-standard-bukkake-recipe,全国製麺協同組合連合会 ぶっかけうどん料理例,全国製麺協同組合連合会,https://zenmenren.or.jp/recipe/02/02-07.html,industry_association,冷水で締めた麺へ濃いめのつゆを直接かける構成の補足,public,2026-08-10
src-standard-chinese-noodle,中華めん,全国製麺協同組合連合会,https://zenmenren.or.jp/raw_noodle_iroiro/chinese_noodle/,industry_association,中華麺の原料、かんすい、ラーメン・焼きそば・つけ麺・油そばの位置づけ,public,2026-08-10
src-standard-curry-udon-history,カレーうどん,全国製麺協同組合連合会,https://www.zenmenren.or.jp/meisan/men_c/curry.html,industry_association,カレーうどんの歴史と日本の麺料理としての位置づけ,public,2026-08-10
src-standard-curry-udon-recipe,カレーうどん料理例,全国製麺協同組合連合会,https://zenmenren.or.jp/recipe/16/08.html,industry_association,だし、カレー、肉・野菜を組み合わせる典型的な調理構成の確認,public,2026-08-10
src-standard-ganja-history,つけ麺の歴史を変えた川越の銘店「頑者」,新横浜ラーメン博物館,https://www.raumen.co.jp/information/news_001526.html,professional_reference,特製もりそばから現代つけ麺へ至る歴史と味の強さの確認,public,2026-08-10
src-standard-ganja-tsukemen,埼玉川越「頑者」,新横浜ラーメン博物館,https://www.raumen.co.jp/shop/ganja-raumen.html,professional_reference,極太麺、濃厚つけだれ、魚粉という現代的つけ麺の代表構造の確認,public,2026-08-10
src-standard-kagawa-mainmenu,おさえておきたい主なメニュー,香川県観光協会 うどん県旅ネット,https://www.my-kagawa.jp/udon/feature/sanukiudon/mainmenu,official_tourism,かけ、ぶっかけ、ざる、釜あげの提供方法と食感の違いの確認,public,2026-08-10
src-standard-kamo-nanban,鴨南蛮そば,株式会社にんべん,https://www.ninben.co.jp/recipe/4085/,producer_reference,鴨肉、焼きねぎ、温かいつゆを合わせる鴨南蛮の典型構成の確認,public,2026-08-10
src-standard-kofu-tori-paitan,麺屋 甲武信,甲府市観光協会,https://kofu-tourism.com/gourmet/526,official_tourism,鶏ガラ・国産鶏を煮込む濃厚鶏白湯と醤油・塩だれの幅の確認,public,2026-08-10
src-standard-kurume-tonkotsu,Kurume Ramen,福岡県観光連盟 VISIT FUKUOKA,https://www.crossroadfukuoka.jp/en/spot/12924,official_tourism,豚骨ラーメンの白濁したスープと豚の風味、久留米との関係の確認,public,2026-08-10
src-standard-maff-hokkaido-ramen,ラーメン 北海道,農林水産省 うちの郷土料理,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/ramen_hokkaido.html,official_government,札幌味噌、函館塩、旭川醤油という代表的な味分類の確認,public,2026-08-10
src-standard-mori-soba,もりそば,日穀製粉株式会社,https://www.nikkoku.co.jp/entertainment/glossary/post-46.php,professional_reference,つゆにつけて食べるもりそばの呼称と、ざる・せいろとの幅の確認,public,2026-08-10
src-standard-nagoya-taiwan-maze,台湾まぜそば,名古屋観光コンベンションビューロー,https://www.nagoya-info.jp/useful/photo_single/82/1/,official_tourism,名古屋で発達した汁なし・まぜそば系の代表例の確認,public,2026-08-10
src-standard-nanban-explainer,鶏南蛮そば 基本の和食,キッコーマン株式会社,https://www.kikkoman.co.jp/homecook/washoku/100/,producer_reference,鴨南蛮を代表例とし、肉とねぎを焼いてかえし・だしと合わせる南蛮そばの構造確認,public,2026-08-10
src-standard-ramen-dictionary,ラーメン大辞典,新横浜ラーメン博物館,https://www.raumen.co.jp/rapedia/dictionary/,professional_reference,ラーメン各様式、たれ、白湯、煮干し、つけ麺、油そば等の用語確認,public,2026-08-10
src-standard-ryus-tori-paitan,RYUS NOODLE BAR,新横浜ラーメン博物館,https://www.raumen.co.jp/shop/ryus-noodle-bar.html,professional_reference,鶏を長時間炊き、強火で白湯へ仕上げる鶏白湯の構造確認,public,2026-08-10
src-standard-salt-yakisoba,細切りキャベツのガーリック白だし焼きそば,キッコーマン株式会社,https://www.kikkoman.co.jp/homecook/search/recipe/00050039/,producer_reference,ソースを使わず塩・白だし・にんにく等で仕上げる塩系焼きそばの幅の確認,public,2026-08-10
src-standard-sauce-yakisoba,絶品ソース焼きそば,キッコーマン株式会社,https://www.kikkoman.co.jp/homecook/search/recipe/00050997/,producer_reference,蒸し中華麺、豚肉、野菜、ウスター系ソースを炒め合わせる典型構成の確認,public,2026-08-10
src-standard-soba-general,日本そば,全国製麺協同組合連合会,https://zenmenren.or.jp/raw_noodle_iroiro/japanese_soba/,industry_association,日本そばの定義、もり・ざる・かけという代表的な食べ方の確認,public,2026-08-10
src-standard-tempura-soba,さわらと春野菜の青のり天ぷらそば,全国製麺協同組合連合会,https://zenmenren.or.jp/recipe/09/03.html,industry_association,温かいそばつゆと天ぷらを組み合わせる典型構成の確認,public,2026-08-10
src-standard-udon-general,うどん,全国製麺協同組合連合会,https://zenmenren.or.jp/raw_noodle_iroiro/udon/,industry_association,うどんの原料、麺のコシ、一般的な製麺特性の確認,public,2026-08-10
src-standard-zaru-soba,ざるそば,日穀製粉株式会社,https://www.nikkoku.co.jp/entertainment/glossary/post-44.php,professional_reference,ざる盛り、海苔の有無など時代と店による違いの確認,public,2026-08-10
