source_id,target_id,relation_type,note
jp-style-ramen-aburasoba-mazesoba,jp-style-yakisoba-sauce,bridge,麺カテゴリをまたぐ味・構造上の橋渡し
jp-style-ramen-aburasoba-mazesoba,jp-071,regional_example,この定番スタイルを理解するためのご当地・地域料理例
jp-style-ramen-aburasoba-mazesoba,jp-119,regional_example,この定番スタイルを理解するためのご当地・地域料理例
jp-style-ramen-aburasoba-mazesoba,jp-style-ramen-tsukemen,related_style,味・提供形式・調理構造が近い定番スタイル
jp-style-ramen-miso,jp-style-udon-curry,bridge,麺カテゴリをまたぐ味・構造上の橋渡し
jp-style-ramen-miso,jp-001,regional_example,この定番スタイルを理解するためのご当地・地域料理例
jp-style-ramen-miso,jp-032,regional_example,この定番スタイルを理解するためのご当地・地域料理例
jp-style-ramen-miso,jp-085,regional_example,この定番スタイルを理解するためのご当地・地域料理例
jp-style-ramen-miso,jp-094,regional_example,この定番スタイルを理解するためのご当地・地域料理例
jp-style-ramen-miso,jp-111,regional_example,この定番スタイルを理解するためのご当地・地域料理例
jp-style-ramen-miso,jp-style-ramen-shoyu,related_style,味・提供形式・調理構造が近い定番スタイル
jp-style-ramen-miso,jp-style-ramen-tori-paitan,related_style,味・提供形式・調理構造が近い定番スタイル
jp-style-ramen-niboshi,jp-016,regional_example,この定番スタイルを理解するためのご当地・地域料理例
jp-style-ramen-niboshi,jp-style-ramen-shoyu,related_style,味・提供形式・調理構造が近い定番スタイル
jp-style-ramen-niboshi,jp-style-ramen-tsukemen,related_style,味・提供形式・調理構造が近い定番スタイル
jp-style-ramen-shio,jp-003,regional_example,この定番スタイルを理解するためのご当地・地域料理例
jp-style-ramen-shio,jp-132,regional_example,この定番スタイルを理解するためのご当地・地域料理例
jp-style-ramen-shio,jp-184,regional_example,この定番スタイルを理解するためのご当地・地域料理例
jp-style-ramen-shio,jp-style-ramen-shoyu,related_style,味・提供形式・調理構造が近い定番スタイル
jp-style-ramen-shio,jp-style-ramen-tori-paitan,related_style,味・提供形式・調理構造が近い定番スタイル
jp-style-ramen-shoyu,jp-084,regional_example,この定番スタイルを理解するためのご当地・地域料理例
jp-style-ramen-shoyu,jp-086,regional_example,この定番スタイルを理解するためのご当地・地域料理例
jp-style-ramen-shoyu,jp-style-ramen-miso,related_style,味・提供形式・調理構造が近い定番スタイル
jp-style-ramen-shoyu,jp-style-ramen-shio,related_style,味・提供形式・調理構造が近い定番スタイル
jp-style-ramen-tonkotsu,jp-style-ramen-tori-paitan,bridge,麺カテゴリをまたぐ味・構造上の橋渡し
jp-style-ramen-tonkotsu,jp-128,regional_example,この定番スタイルを理解するためのご当地・地域料理例
jp-style-ramen-tonkotsu,jp-162,regional_example,この定番スタイルを理解するためのご当地・地域料理例
jp-style-ramen-tonkotsu,jp-165,regional_example,この定番スタイルを理解するためのご当地・地域料理例
jp-style-ramen-tonkotsu,jp-style-ramen-tori-paitan,related_style,味・提供形式・調理構造が近い定番スタイル
jp-style-ramen-tonkotsu,jp-style-ramen-tsukemen,related_style,味・提供形式・調理構造が近い定番スタイル
jp-style-ramen-tori-paitan,jp-style-ramen-tonkotsu,bridge,麺カテゴリをまたぐ味・構造上の橋渡し
jp-style-ramen-tori-paitan,jp-048,regional_example,この定番スタイルを理解するためのご当地・地域料理例
jp-style-ramen-tori-paitan,jp-style-ramen-shio,related_style,味・提供形式・調理構造が近い定番スタイル
jp-style-ramen-tori-paitan,jp-style-ramen-tonkotsu,related_style,味・提供形式・調理構造が近い定番スタイル
jp-style-ramen-tsukemen,jp-072,regional_example,この定番スタイルを理解するためのご当地・地域料理例
jp-style-ramen-tsukemen,jp-147,regional_example,この定番スタイルを理解するためのご当地・地域料理例
jp-style-ramen-tsukemen,jp-style-ramen-aburasoba-mazesoba,related_style,味・提供形式・調理構造が近い定番スタイル
jp-style-ramen-tsukemen,jp-style-ramen-niboshi,related_style,味・提供形式・調理構造が近い定番スタイル
jp-style-soba-kake,jp-soba-iya,regional_example,調査済みご当地麺データから継承した定番スタイルの具体例
jp-style-soba-kake,jp-soba-izumo,regional_example,調査済みご当地麺データから継承した定番スタイルの具体例
jp-style-soba-kake,jp-soba-jindaiji,regional_example,調査済みご当地麺データから継承した定番スタイルの具体例
jp-style-soba-kake,jp-soba-taishu,regional_example,調査済みご当地麺データから継承した定番スタイルの具体例
jp-style-soba-kake,jp-soba-toji,regional_example,調査済みご当地麺データから継承した定番スタイルの具体例
jp-style-soba-kake,jp-soba-tsugaru,regional_example,調査済みご当地麺データから継承した定番スタイルの具体例
jp-style-soba-kake,jp-soba-tsumetai-niku,regional_example,調査済みご当地麺データから継承した定番スタイルの具体例
jp-style-soba-kake,jp-style-soba-kamo-nanban,related_style,味・提供形式・調理構造が近い定番スタイル
jp-style-soba-kake,jp-style-soba-mori-zaru,related_style,味・提供形式・調理構造が近い定番スタイル
jp-style-soba-kake,jp-style-soba-tempura,related_style,味・提供形式・調理構造が近い定番スタイル
jp-style-soba-kamo-nanban,jp-style-soba-kake,related_style,味・提供形式・調理構造が近い定番スタイル
jp-style-soba-mori-zaru,jp-style-udon-bukkake,bridge,麺カテゴリをまたぐ味・構造上の橋渡し
jp-style-soba-mori-zaru,jp-style-udon-zaru,bridge,麺カテゴリをまたぐ味・構造上の橋渡し
jp-style-soba-mori-zaru,jp-other-kawara-soba,regional_example,調査済みご当地麺データから継承した定番スタイルの具体例
jp-style-soba-mori-zaru,jp-soba-echizen-oroshi,regional_example,調査済みご当地麺データから継承した定番スタイルの具体例
jp-style-soba-mori-zaru,jp-soba-hegi,regional_example,調査済みご当地麺データから継承した定番スタイルの具体例
jp-style-soba-mori-zaru,jp-soba-ita,regional_example,調査済みご当地麺データから継承した定番スタイルの具体例
jp-style-soba-mori-zaru,jp-soba-izumo,regional_example,調査済みご当地麺データから継承した定番スタイルの具体例
jp-style-soba-mori-zaru,jp-soba-izushi,regional_example,調査済みご当地麺データから継承した定番スタイルの具体例
jp-style-soba-mori-zaru,jp-soba-jindaiji,regional_example,調査済みご当地麺データから継承した定番スタイルの具体例
jp-style-soba-mori-zaru,jp-soba-tachi,regional_example,調査済みご当地麺データから継承した定番スタイルの具体例
jp-style-soba-mori-zaru,jp-soba-taishu,regional_example,調査済みご当地麺データから継承した定番スタイルの具体例
jp-style-soba-mori-zaru,jp-soba-takato,regional_example,調査済みご当地麺データから継承した定番スタイルの具体例
jp-style-soba-mori-zaru,jp-soba-togakushi,regional_example,調査済みご当地麺データから継承した定番スタイルの具体例
jp-style-soba-mori-zaru,jp-soba-wanko,regional_example,調査済みご当地麺データから継承した定番スタイルの具体例
jp-style-soba-mori-zaru,jp-style-soba-kake,related_style,味・提供形式・調理構造が近い定番スタイル
jp-style-soba-mori-zaru,jp-style-soba-tempura,related_style,味・提供形式・調理構造が近い定番スタイル
jp-style-soba-tempura,jp-style-soba-kake,related_style,味・提供形式・調理構造が近い定番スタイル
jp-style-soba-tempura,jp-style-soba-mori-zaru,related_style,味・提供形式・調理構造が近い定番スタイル
jp-style-udon-bukkake,jp-style-soba-mori-zaru,bridge,麺カテゴリをまたぐ味・構造上の橋渡し
jp-style-udon-bukkake,jp-udon-sanuki,regional_example,調査済みご当地麺データから継承した定番スタイルの具体例
jp-style-udon-bukkake,jp-style-udon-kake,related_style,味・提供形式・調理構造が近い定番スタイル
jp-style-udon-bukkake,jp-style-udon-zaru,related_style,味・提供形式・調理構造が近い定番スタイル
jp-style-udon-curry,jp-style-ramen-miso,bridge,麺カテゴリをまたぐ味・構造上の橋渡し
jp-style-udon-curry,jp-style-udon-kake,related_style,味・提供形式・調理構造が近い定番スタイル
jp-style-udon-kake,jp-other-hoto,regional_example,調査済みご当地麺データから継承した定番スタイルの具体例
jp-style-udon-kake,jp-other-kishimen,regional_example,調査済みご当地麺データから継承した定番スタイルの具体例
jp-style-udon-kake,jp-udon-hakata,regional_example,調査済みご当地麺データから継承した定番スタイルの具体例
jp-style-udon-kake,jp-udon-himi,regional_example,調査済みご当地麺データから継承した定番スタイルの具体例
jp-style-udon-kake,jp-udon-himokawa,regional_example,調査済みご当地麺データから継承した定番スタイルの具体例
jp-style-udon-kake,jp-udon-inaniwa,regional_example,調査済みご当地麺データから継承した定番スタイルの具体例
jp-style-udon-kake,jp-udon-ise,regional_example,調査済みご当地麺データから継承した定番スタイルの具体例
jp-style-udon-kake,jp-udon-kazo,regional_example,調査済みご当地麺データから継承した定番スタイルの具体例
jp-style-udon-kake,jp-udon-mimi,regional_example,調査済みご当地麺データから継承した定番スタイルの具体例
jp-style-udon-kake,jp-udon-naruchuru,regional_example,調査済みご当地麺データから継承した定番スタイルの具体例
jp-style-udon-kake,jp-udon-okkirikomi,regional_example,調査済みご当地麺データから継承した定番スタイルの具体例
jp-style-udon-kake,jp-udon-saiki-gomadashi,regional_example,調査済みご当地麺データから継承した定番スタイルの具体例
jp-style-udon-kake,jp-udon-sanuki,regional_example,調査済みご当地麺データから継承した定番スタイルの具体例
