dish_id,dish_name,facet_id,facet_label_ja,group_id,source,confidence,display_eligible,evidence
jp-001,札幌ラーメン,miso,味噌系,broth_seasoning,manual_review,0.93,true,manual_review:札幌ラーメン
jp-001,札幌ラーメン,animal_forward,動物系が強い,broth_seasoning,manual_review,0.93,true,manual_review:札幌ラーメン
jp-001,札幌ラーメン,traditional,伝統的・王道,culture,manual_review,0.93,true,manual_review:札幌ラーメン
jp-001,札幌ラーメン,vegetables,野菜が多い,ingredient,manual_review,0.93,true,manual_review:札幌ラーメン
jp-001,札幌ラーメン,firm_noodle,コシが強い,noodle,manual_review,0.93,true,manual_review:札幌ラーメン
jp-001,札幌ラーメン,soup,汁あり,serving,manual_review,0.93,true,manual_review:札幌ラーメン
jp-001,札幌ラーメン,rich,濃厚,taste_aroma,manual_review,0.93,true,manual_review:札幌ラーメン
jp-001,札幌ラーメン,garlic,にんにくが効く,taste_aroma,manual_review,0.93,true,manual_review:札幌ラーメン
jp-001,札幌ラーメン,fermented,発酵感がある,taste_aroma,legacy_tag,0.88,true,legacy_tag:味噌
jp-002,旭川ラーメン,soy_sauce,醤油系,broth_seasoning,manual_review,0.93,true,manual_review:旭川ラーメン
jp-002,旭川ラーメン,seafood_forward,魚介が強い,broth_seasoning,manual_review,0.93,true,manual_review:旭川ラーメン
jp-002,旭川ラーメン,animal_forward,動物系が強い,broth_seasoning,manual_review,0.93,true,manual_review:旭川ラーメン
jp-002,旭川ラーメン,double_broth,動物系と魚介の合わせだし,broth_seasoning,manual_review,0.93,true,manual_review:旭川ラーメン
jp-002,旭川ラーメン,traditional,伝統的・王道,culture,manual_review,0.93,true,manual_review:旭川ラーメン
jp-002,旭川ラーメン,seafood_ingredient,魚介を使う,ingredient,legacy_tag,0.88,true,legacy_tag:魚介
jp-002,旭川ラーメン,soup,汁あり,serving,manual_review,0.93,true,manual_review:旭川ラーメン
jp-002,旭川ラーメン,umami_forward,うま味が強い,taste_aroma,numeric_derived,0.62,false,taste.umami>=4.0
jp-003,函館ラーメン,salt,塩系,broth_seasoning,manual_review,0.93,true,manual_review:函館ラーメン
jp-003,函館ラーメン,traditional,伝統的・王道,culture,manual_review,0.93,true,manual_review:函館ラーメン
jp-003,函館ラーメン,soup,汁あり,serving,manual_review,0.93,true,manual_review:函館ラーメン
jp-003,函館ラーメン,light,あっさり,taste_aroma,manual_review,0.93,true,manual_review:函館ラーメン
jp-004,釧路ラーメン,soy_sauce,醤油系,broth_seasoning,legacy_tag,0.88,true,legacy_tag:醤油
jp-004,釧路ラーメン,thin_noodle,細麺,noodle,numeric_derived,0.62,false,noodle.thickness<=2.2
jp-004,釧路ラーメン,soup,汁あり,serving,structured_field,0.74,false,collection_form:japan_local_ramen
jp-004,釧路ラーメン,light,あっさり,taste_aroma,numeric_derived,0.62,false,taste.richness<=2.3 & oiliness<=2.3
jp-005,カレーラーメン,curry,カレー系,broth_seasoning,structured_field,0.86,true,name_contains:カレー
jp-005,カレーラーメン,soup,汁あり,serving,structured_field,0.74,false,collection_form:japan_local_ramen
jp-005,カレーラーメン,spicy,辛い・香辛料が効く,taste_aroma,legacy_tag,0.88,true,legacy_tag:香辛料
jp-006,上川ラーメン,soup,汁あり,serving,structured_field,0.74,false,collection_form:japan_local_ramen
jp-007,天ぷらラーメン,tempura,天ぷら・揚げ物,ingredient,structured_field,0.86,true,name_explicit:揚げ物
jp-007,天ぷらラーメン,soup,汁あり,serving,structured_field,0.74,false,collection_form:japan_local_ramen
jp-008,中標津ミルキーラーメン,dairy,乳製品,ingredient,structured_field,0.86,true,name_explicit:乳製品
jp-008,中標津ミルキーラーメン,soup,汁あり,serving,structured_field,0.74,false,collection_form:japan_local_ramen
jp-008,中標津ミルキーラーメン,rich,濃厚,taste_aroma,legacy_tag,0.88,true,legacy_tag:まろやか
jp-009,オホーツク干貝柱ラーメン,soy_sauce,醤油系,broth_seasoning,structured_field,0.78,true,structured:醤油
jp-009,オホーツク干貝柱ラーメン,salt,塩系,broth_seasoning,structured_field,0.78,true,structured:塩
jp-009,オホーツク干貝柱ラーメン,miso,味噌系,broth_seasoning,structured_field,0.78,true,structured:味噌
jp-009,オホーツク干貝柱ラーメン,seafood_forward,魚介が強い,broth_seasoning,structured_field,0.86,true,name_explicit:魚介素材
jp-009,オホーツク干貝柱ラーメン,seafood_ingredient,魚介を使う,ingredient,structured_field,0.86,true,name_explicit:魚介素材
jp-009,オホーツク干貝柱ラーメン,soup,汁あり,serving,structured_field,0.74,false,collection_form:japan_local_ramen
jp-009,オホーツク干貝柱ラーメン,umami_forward,うま味が強い,taste_aroma,numeric_derived,0.62,false,taste.umami>=4.0
jp-009,オホーツク干貝柱ラーメン,fermented,発酵感がある,taste_aroma,structured_field,0.78,true,structured:味噌
jp-010,旭川ホルメン,meat_ingredient,肉を使う,ingredient,structured_field,0.86,true,name_explicit:もつ・ホルモン
