id,title,publisher,url,kind,note,visibility,checked_at
jra-2025,日本ご当地ラーメン一覧2025,一般社団法人 日本ラーメン協会,https://ramen-kyokai.jp/gotouchi_ramen_map/,official_catalog,名称と都道府県の確認に使用,public,
ramen-museum-history,ラーメンの歴史,新横浜ラーメン博物館,https://www.raumen.co.jp/rapedia/study_history/,museum,日本のラーメン文化の背景資料,public,
epsilon-method,味覚分類と推薦方法,EpsilonLab,,editorial,本アプリ独自の初期分類と推薦計算,public,
korea-tourism,韓国のラミョン文化,韓国観光公社,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=178959,official_tourism,ラミョン文化の参考資料,public,
vietnam-tourism-pho,The story of Vietnamese pho,Vietnam Tourism,https://vietnam.travel/things-to-do/history-pho/,official_tourism,フォーの歴史と一般的な構成,public,
vietnam-tourism-food,21 must-try Vietnamese dishes,Vietnam Tourism,https://www.vietnam.travel/jp/things-to-do/21-must-try-vietnamese-dishes,official_tourism,ベトナム麺料理の背景資料,public,
singapore-tourism-laksa,Dining in Singapore,Visit Singapore,https://www.visitsingapore.com/ja_jp/dining-drinks-singapore/dining/,official_tourism,ラクサを含むシンガポール食文化の参考資料,public,
world-china,中国の麺料理に関する編集資料,EpsilonLab,,editorial_pending,公開資料の確認待ち,internal,
world-taiwan,台湾の麺料理に関する編集資料,EpsilonLab,,editorial_pending,公開資料の確認待ち,internal,
world-hongkong,香港の麺料理に関する編集資料,EpsilonLab,,editorial_pending,公開資料の確認待ち,internal,
world-korea,韓国の麺料理に関する編集資料,EpsilonLab,,editorial_pending,公開資料の確認待ち,internal,
world-cambodia,カンボジアの麺料理に関する編集資料,EpsilonLab,,editorial_pending,公開資料の確認待ち,internal,
world-thailand,タイの麺料理に関する編集資料,EpsilonLab,,editorial_pending,公開資料の確認待ち,internal,
world-malaysia,マレーシアの麺料理に関する編集資料,EpsilonLab,,editorial_pending,公開資料の確認待ち,internal,
world-singapore,シンガポールの麺料理に関する編集資料,EpsilonLab,,editorial_pending,公開資料の確認待ち,internal,
world-indonesia,インドネシアの麺料理に関する編集資料,EpsilonLab,,editorial_pending,公開資料の確認待ち,internal,
world-myanmar,ミャンマーの麺料理に関する編集資料,EpsilonLab,,editorial_pending,公開資料の確認待ち,internal,
world-himalaya,ヒマラヤ圏の麺料理に関する編集資料,EpsilonLab,,editorial_pending,公開資料の確認待ち,internal,
world-central-asia,中央アジアの麺料理に関する編集資料,EpsilonLab,,editorial_pending,公開資料の確認待ち,internal,
world-iran,イランの麺料理に関する編集資料,EpsilonLab,,editorial_pending,公開資料の確認待ち,internal,
world-hawaii,ハワイの麺料理に関する編集資料,EpsilonLab,,editorial_pending,公開資料の確認待ち,internal,
world-peru,ペルーの麺料理に関する編集資料,EpsilonLab,,editorial_pending,公開資料の確認待ち,internal,
world-mexico,メキシコの麺料理に関する編集資料,EpsilonLab,,editorial_pending,公開資料の確認待ち,internal,
src-jp-other-hoto-1,ほうとう 山梨県,農林水産省 うちの郷土料理,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/houtou_yama_nashi.html,official_government,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-other-hoto-2,ほうとう,農林水産省 にっぽん伝統食図鑑,https://www.maff.go.jp/j/keikaku/syokubunka/traditional-foods/menu/hoto.html,official_government,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-other-kawara-soba-1,瓦そば 山口県,農林水産省 子どもの食育,https://www.maff.go.jp/j/syokuiku/kodomo_navi/cuisine/cuisine5_5.html,official_government,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-other-kawara-soba-2,下関の瓦そば,日本政府観光局,https://www.japan.travel/en/japans-local-treasures/shimonoseki-kawara-soba/,official_tourism,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-other-kishimen-1,きしめん 愛知県,農林水産省 子どもの食育,https://www.maff.go.jp/j/syokuiku/kodomo_navi/cuisine/cuisine3_9.html,official_government,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-other-kishimen-2,愛知県産小麦 きぬあかりときしめん,愛知県,https://www.pref.aichi.jp/soshiki/engei/kinuakari.html,official_government,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-other-kokura-yakiudon-1,小倉焼うどん,北九州市公式観光情報サイト 北九州パレット,https://kitakyushucity.guide/features/detail/3040c3f0-468f-440e-80ba-73c080a1b59d,official_tourism,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-other-kokura-yakiudon-2,小倉発祥焼うどん,北九州市公式観光情報サイト 北九州パレット,https://kitakyushucity.guide/souvenirs/detail/c8b96cb0-bb0b-44f5-9610-c2976815aca3,official_tourism,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-other-nagasaki-saraudon-1,皿うどん 長崎県,農林水産省 うちの郷土料理,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/46_7_nagasaki.html,official_government,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-other-nagasaki-saraudon-2,長崎新地中華街と皿うどん,長崎市公式観光サイト travel nagasaki,https://www.at-nagasaki.jp/spot/111,official_tourism,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-other-sayo-horumon-yakiudon-1,佐用ホルモン焼きうどん,兵庫県 県民だよりひょうご,https://web.pref.hyogo.lg.jp/kk03/dayori2503/teiban.html,official_government,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-other-sayo-horumon-yakiudon-2,佐用のグルメ,佐用町観光協会,https://sayo-kanko.jp/gourmet/,official_tourism,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-other-sobameshi-1,長田のご当地グルメ そばめし,神戸観光局 Feel KOBE,https://www.feel-kobe.jp/column/nagata-gourmet/,official_tourism,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-other-sobameshi-2,神戸の食文化・そばめし,神戸市立図書館,https://www.city.kobe.lg.jp/a09222/kosodate/lifelong/toshokan/bunkodayori/back/hon_40.html,museum_or_library,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-other-tsuyama-horumon-udon-1,津山の牛肉文化・ホルモンうどん,津山市観光協会,https://www.tsuyamakan.jp/news/beef,official_tourism,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-other-tsuyama-horumon-udon-2,津山風ホルモンうどん 地域連携商品情報,ローソン,https://www.lawson.co.jp/company/news/052919/,producer_reference,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-soba-echizen-oroshi-1,越前おろしそば,越前市,https://www.city.echizen.lg.jp/office/060/050/etizennorosisoba.html,official_government,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-soba-echizen-oroshi-2,越前おろしそば,公益財団法人日本交通公社 全国観光資源台帳,https://tabi.jtb.or.jp/res/180002-,professional_reference,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-soba-hegi-1,へぎそば 新潟県,農林水産省 子どもの食育,https://www.maff.go.jp/j/syokuiku/kodomo_navi/cuisine/cuisine3_1.html,official_government,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-soba-hegi-2,へぎそば,公益財団法人日本交通公社 全国観光資源台帳,https://tabi.jtb.or.jp/res/150051-,professional_reference,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-soba-ita-1,山形板そば,公益財団法人日本交通公社 全国観光資源台帳,https://tabi.jtb.or.jp/res/060048-,professional_reference,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-soba-ita-2,村山市観光情報,村山市,https://www.city.murayama.lg.jp/kanko/index.html,official_government,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-soba-iya-1,祖谷そば 徳島県,農林水産省 うちの郷土料理,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/44_5_tokushima.html,official_government,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-soba-iya-2,祖谷そば,大歩危祖谷観光ナビ,https://www.oboke-iya.jp/sightseeing/index3.php,official_tourism,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-soba-izumo-1,出雲そば 島根県,農林水産省 うちの郷土料理,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/izumosoba_shimane.html,official_government,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-soba-izumo-2,出雲そば,農林水産省 にっぽん伝統食図鑑,https://www.maff.go.jp/j/keikaku/syokubunka/traditional-foods/menu/izumo_soba.html,official_government,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-soba-izushi-1,出石皿そば 地域団体商標,特許庁,https://www.jpo.go.jp/system/trademark/gaiyo/chidan/shoukai/ichiran/5385475.html,official_government,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-soba-izushi-2,出石皿そば,豊岡市,https://www.city.toyooka.lg.jp/kanko/taberu/1002200.html,official_government,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-soba-jindaiji-1,深大寺,調布市,https://www.city.chofu.lg.jp/kids/zukan/zukan030.html,official_government,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-soba-jindaiji-2,深大寺そば案内,深大寺そば組合,https://jindaiji-soba.chofu.com/guide.html,industry_association,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-soba-tachi-1,裁ちそば,尾瀬檜枝岐温泉観光協会,https://www.oze-info.jp/ozh_shop/tachisobamaruya/,official_tourism,料理の地域性、由来、材料、提供形式の確認に使用,public,
