dish_id,name,source_ids,fact_basis,taste_basis,range_interpretation,known_uncertainty,review_status,reviewed_at
jp-style-ramen-shoyu,醤油ラーメン,src-standard-ramen-dictionary|src-standard-chinese-noodle|src-standard-maff-hokkaido-ramen,醤油だれを味の軸に据えたラーメン。澄んだ鶏・魚介系から濃厚な動物系まで幅があり、日本で最も広く見られる基本スタイルの一つ。 中国由来の麺料理へ日本の醤油文化が取り込まれて発達した。ご当地ラーメンにも醤油を主軸にする例が多く、特定地域に限定しない定番スタイルとして扱う。,醤油だれの強さを中心に、清湯・動物系・魚介系を含む一般的な幅を設定。代表値は中庸、だし・油・動物系・魚介系は広い範囲を持たせた。,定番スタイルは一つの固定レシピではないため、typicalは代表的な中心像、min/maxはたれ、だし、油、具材、麺、地域・店舗差を含む広い編集範囲として設定した。,豚骨醤油や濃口・淡口など境界が広く、店舗差が全20スタイル中でも大きい。,reviewed,2026-08-10
jp-style-ramen-shio,塩ラーメン,src-standard-ramen-dictionary|src-standard-chinese-noodle|src-standard-maff-hokkaido-ramen,塩だれを味の軸にしたラーメン。透明感のある清湯が多い一方、鶏白湯や豚骨へ塩だれを合わせる例もある。 塩味の麺スープは中国料理にも見られ、日本では函館などのご当地ラーメンとともに定番化した。だしや香味油が直接感じられやすいスタイル。,塩だれの輪郭を高め、醤油・味噌由来の発酵感を低く設定。清湯が多い中心像と、白湯・貝・魚介系を含む幅を併記した。,定番スタイルは一つの固定レシピではないため、typicalは代表的な中心像、min/maxはたれ、だし、油、具材、麺、地域・店舗差を含む広い編集範囲として設定した。,塩はたれの分類であり、スープの透明度や濃厚さを一意に決めない。,reviewed,2026-08-10
jp-style-ramen-miso,味噌ラーメン,src-standard-ramen-dictionary|src-standard-maff-hokkaido-ramen|src-standard-chinese-noodle,味噌だれを主役にするラーメン。発酵由来の香りとコクがあり、炒め野菜や香味油を合わせた濃厚な構成が多い。 札幌で定番化した味噌ラーメンが全国へ広がり、現在は地域や店ごとに多様な味噌・スープ・香辛料が使われる。,味噌の発酵感、たれの強さ、濃厚さを高め、炒め野菜と香味油を含む中心像を設定した。,定番スタイルは一つの固定レシピではないため、typicalは代表的な中心像、min/maxはたれ、だし、油、具材、麺、地域・店舗差を含む広い編集範囲として設定した。,甘口・辛口、清湯・白湯、味噌の配合により味覚幅が大きい。,reviewed,2026-08-10
jp-style-ramen-tonkotsu,豚骨ラーメン,src-standard-ramen-dictionary|src-standard-kurume-tonkotsu|src-standard-chinese-noodle,豚骨を長時間炊き、脂肪やゼラチン質を乳化させた白濁スープを軸にするラーメン。強い豚のうま味と細麺の組み合わせが代表的。 久留米を発祥地とする説明が広く知られ、九州各地で独自に発達した。現在は全国で濃度・香り・たれ・麺の異なる多様な豚骨ラーメンが提供される。,豚骨の乳化白湯を中心に、濃厚さ・油分・動物系の強さを高く設定。長浜系の軽さから久留米系の重さまでを範囲へ含めた。,定番スタイルは一つの固定レシピではないため、typicalは代表的な中心像、min/maxはたれ、だし、油、具材、麺、地域・店舗差を含む広い編集範囲として設定した。,豚骨の濃度・香り・脂・麺の太さは地域・店による差が大きい。,reviewed,2026-08-10
jp-style-ramen-tori-paitan,鶏白湯ラーメン,src-standard-ramen-dictionary|src-standard-ryus-tori-paitan|src-standard-kofu-tori-paitan,鶏を長時間炊き、脂肪とゼラチン質を乳化させた白濁スープを使うラーメン。クリーミーな口当たりと凝縮した鶏のうま味が特徴。 中華料理の白湯技法を基盤に、鶏を主体とした濃厚ラーメンとして広がった。塩・醤油・味噌、野菜ポタージュ、魚介との組み合わせもある。,乳化した鶏白湯を中心に、動物系・濃厚さ・油分を高く設定。魚介・野菜を加える店を範囲に含めた。,定番スタイルは一つの固定レシピではないため、typicalは代表的な中心像、min/maxはたれ、だし、油、具材、麺、地域・店舗差を含む広い編集範囲として設定した。,豚骨併用、泡立て、ポタージュ化、清湯とのブレンドなど境界が広い。,reviewed,2026-08-10
jp-style-ramen-niboshi,煮干しラーメン,src-standard-ramen-dictionary|src-standard-aomori-niboshi|src-standard-chinese-noodle,煮干し・焼き干しをだしの主役にするラーメン。穏やかな和風だしから、苦味や香りまで前面に出す濃厚タイプまで幅がある。 煮干しはラーメンスープで広く用いられてきた魚介素材で、津軽などでは地域文化として強く発達した。,煮干し・焼き干しの魚介感とだしを最高水準に近く設定し、淡麗・濃厚、動物系併用の幅を広く持たせた。,定番スタイルは一つの固定レシピではないため、typicalは代表的な中心像、min/maxはたれ、だし、油、具材、麺、地域・店舗差を含む広い編集範囲として設定した。,煮干しの強度と苦味は店差が極めて大きく、穏やかな中華そばと濃厚煮干しでは別料理に近い。,reviewed,2026-08-10
jp-style-ramen-tsukemen,つけ麺,src-standard-ramen-dictionary|src-standard-ganja-tsukemen|src-standard-ganja-history,ゆでた中華麺と濃いめのつけ汁を別々に供し、麺をつけて食べるスタイル。冷水で締めた太麺と、酸味・甘味・辛味を含む強いつけ汁が代表的。 特製もりそばなどを源流に発達し、現代では極太麺、濃厚な動物魚介、魚粉を使うタイプを含め独立した一大様式となった。,つけ汁はラーメンスープより味を強める傾向、麺は太く締める傾向を中心像とした。淡麗・冷やし・辛つけ麺も範囲に含む。,定番スタイルは一つの固定レシピではないため、typicalは代表的な中心像、min/maxはたれ、だし、油、具材、麺、地域・店舗差を含む広い編集範囲として設定した。,つけ麺は提供形式の分類であり、だし・たれ・温度・濃厚さを一意に決めない。,reviewed,2026-08-10
jp-style-ramen-aburasoba-mazesoba,油そば・まぜそば,src-standard-ramen-dictionary|src-standard-chinese-noodle|src-standard-nagoya-taiwan-maze,丼の底のたれと香味油を麺へ絡めて食べる、スープをほとんど持たない中華麺スタイル。油そばから肉味噌・香辛料を強く使うまぜそばまで含む。 油そばとして発達した汁なし麺の系譜に、台湾まぜそばなど具材・辛味・にんにくを強めた派生が加わり、定番化した。,スープが少ないため油分・たれ・麺の存在感を高めた。穏やかな油そばから辛味・にんにくの強いまぜそばまでを広い範囲へ含めた。,定番スタイルは一つの固定レシピではないため、typicalは代表的な中心像、min/maxはたれ、だし、油、具材、麺、地域・店舗差を含む広い編集範囲として設定した。,油そばとまぜそばは厳密な統一定義がなく、具材と辛味の幅が大きい。,reviewed,2026-08-10
jp-style-udon-kake,かけうどん,src-standard-udon-general|src-standard-kagawa-mainmenu,ゆでたうどんへ温かいだしつゆをたっぷりかける、最も基本的なうどんスタイルの一つ。 地域ごとにいりこ、かつお、昆布、醤油の組み合わせが異なり、麺とだしの違いを素直に比べやすい。,温かいだしを中心に、油と刺激を低く、だしとうま味を高く設定した。,定番スタイルは一つの固定レシピではないため、typicalは代表的な中心像、min/maxはたれ、だし、油、具材、麺、地域・店舗差を含む広い編集範囲として設定した。,東西のつゆ、麺の硬さ、だし素材による地域差が大きい。,reviewed,2026-08-10
jp-style-udon-bukkake,ぶっかけうどん,src-standard-udon-general|src-standard-kagawa-mainmenu|src-standard-bukkake-recipe,冷水で締めた麺などへ、濃いめのつけだしを直接かけ、薬味と混ぜて食べるうどん。温かい形もある。 つけ汁を別添えにするざるうどんとは異なり、少量の濃いだしを麺へ直接かける提供形式として定着した。,かけよりつゆの濃度と塩味・たれ感を上げ、冷水で締めた麺の硬さを高めた。,定番スタイルは一つの固定レシピではないため、typicalは代表的な中心像、min/maxはたれ、だし、油、具材、麺、地域・店舗差を含む広い編集範囲として設定した。,温かいぶっかけ、しょうゆうどんとの呼称境界は店によって異なる。,reviewed,2026-08-10
