id,name,collection,country,prefecture,facet_count,facet_ids,display_facet_count,display_facet_ids,manual_reviewed,taste_completeness,broth_seasoning_completeness,noodle_completeness,serving_form_completeness,ingredients_completeness,review_priority
jp-001,札幌ラーメン,japan_local_ramen,日本,北海道,9,miso|animal_forward|traditional|vegetables|firm_noodle|soup|rich|garlic|fermented,9,miso|animal_forward|traditional|vegetables|firm_noodle|soup|rich|garlic|fermented,true,known,known,known,known,known,complete
jp-002,旭川ラーメン,japan_local_ramen,日本,北海道,8,soy_sauce|seafood_forward|animal_forward|double_broth|traditional|seafood_ingredient|soup|umami_forward,7,soy_sauce|seafood_forward|animal_forward|double_broth|traditional|seafood_ingredient|soup,true,known,known,known,known,known,complete
jp-003,函館ラーメン,japan_local_ramen,日本,北海道,4,salt|traditional|soup|light,4,salt|traditional|soup|light,true,known,known,known,known,unknown,complete
jp-004,釧路ラーメン,japan_local_ramen,日本,北海道,4,soy_sauce|thin_noodle|soup|light,1,soy_sauce,false,derived,known,derived,known,unknown,low
jp-005,カレーラーメン,japan_local_ramen,日本,北海道,3,curry|soup|spicy,2,curry|spicy,false,known,known,unknown,known,unknown,medium
jp-006,上川ラーメン,japan_local_ramen,日本,北海道,1,soup,0,,false,derived,unknown,unknown,known,unknown,high
jp-007,天ぷらラーメン,japan_local_ramen,日本,北海道,2,tempura|soup,1,tempura,false,derived,unknown,unknown,known,known,medium
jp-008,中標津ミルキーラーメン,japan_local_ramen,日本,北海道,3,dairy|soup|rich,2,dairy|rich,false,known,unknown,unknown,known,known,medium
jp-009,オホーツク干貝柱ラーメン,japan_local_ramen,日本,北海道,8,soy_sauce|salt|miso|seafood_forward|seafood_ingredient|soup|umami_forward|fermented,6,soy_sauce|salt|miso|seafood_forward|seafood_ingredient|fermented,false,known,known,unknown,known,known,medium
jp-010,旭川ホルメン,japan_local_ramen,日本,北海道,4,meat_ingredient|offal|soup|rich,2,meat_ingredient|offal,false,derived,unknown,unknown,known,known,medium
jp-011,ガタタンラーメン,japan_local_ramen,日本,北海道,2,vegetables|soup,1,vegetables,false,derived,unknown,unknown,known,known,high
jp-012,稚内ラーメン,japan_local_ramen,日本,北海道,1,soup,0,,false,derived,unknown,unknown,known,unknown,high
jp-013,利尻ラーメン,japan_local_ramen,日本,北海道,1,soup,0,,false,derived,unknown,unknown,known,unknown,high
jp-014,津軽中華そば,japan_local_ramen,日本,青森県,2,soy_sauce|soup,1,soy_sauce,false,derived,known,unknown,known,unknown,high
jp-015,味噌カレー牛乳ラーメン,japan_local_ramen,日本,青森県,7,miso|curry|dairy|soup|rich|spicy|fermented,5,miso|curry|dairy|spicy|fermented,false,known,known,unknown,known,known,medium
jp-016,濃厚津軽煮干しラーメン,japan_local_ramen,日本,青森県,10,soy_sauce|salt|miso|niboshi|dashi_forward|seafood_forward|soup|rich|umami_forward|fermented,7,soy_sauce|salt|miso|niboshi|dashi_forward|seafood_forward|fermented,false,known,known,unknown,known,unknown,medium
jp-017,しじみラーメン,japan_local_ramen,日本,青森県,8,soy_sauce|salt|miso|seafood_forward|seafood_ingredient|soup|umami_forward|fermented,6,soy_sauce|salt|miso|seafood_forward|seafood_ingredient|fermented,false,known,known,unknown,known,known,medium
jp-018,つゆやきそば,japan_local_ramen,日本,青森県,1,soup,0,,false,derived,unknown,unknown,known,unknown,high
jp-019,八戸ラーメン,japan_local_ramen,日本,青森県,1,soup,0,,false,derived,unknown,unknown,known,unknown,high
jp-020,宮古ラーメン,japan_local_ramen,日本,岩手県,1,soup,0,,false,derived,unknown,unknown,known,unknown,high
jp-021,釜石ラーメン,japan_local_ramen,日本,岩手県,1,soup,0,,false,derived,unknown,unknown,known,unknown,high
