id,name,local_name,aliases,country_code,prefecture_codes,region_codes,city,lat,lon,domain,noodle_category,cultural_scope,publication_status,form,noodle_materials,noodle_shape,broth_bases,seasonings,keywords,summary,background,variation,parent_style_ids,public_source_ids,verification_level,reviewed_at,ingredients,tags,allergen_note,tradition,uniqueness,adventure,score_method,slug
jp-001,札幌ラーメン,,,JP,01,hokkaido,,43.35,142.45,japan,ramen,regional,published,soup,wheat,中太の縮れ麺,豚骨|鶏ガラ,味噌だれ,,,,,,jra-2025|epsilon-method|src-v230-jra-2025|src-v230-ramenmuseum-sapporo,reviewed,2026-08-10,炒め野菜|もやし|ひき肉|ねぎ|チャーシュー|メンマ,味噌|発酵のコク|炒め野菜,,,,,,
jp-002,旭川ラーメン,,,JP,01,hokkaido,,43.35,142.45,japan,ramen,regional,published,soup,wheat,低加水の細め〜中細縮れ麺,豚骨|魚介|煮干し,醤油だれ,,,,,,jra-2025|epsilon-method|src-v230-jra-2025|src-v230-ramenmuseum-asahikawa,reviewed,2026-08-10,ねぎ|チャーシュー|メンマ,醤油|魚介|動物系と魚介の合わせ出汁,,,,,,
jp-003,函館ラーメン,,,JP,01,hokkaido,,43.35,142.45,japan,ramen,regional,published,soup,wheat,縮れの少ない中細麺,豚骨|鶏ガラ,塩だれ,,,,,,jra-2025|epsilon-method|src-v230-jra-2025|src-v230-ramenmuseum-hakodade,reviewed,2026-08-10,ねぎ|チャーシュー|メンマ,塩|澄んだ味わい|淡麗|澄んだスープ|透明感のあるスープ,,,,,,
jp-004,釧路ラーメン,,,JP,01,hokkaido,,43.35,142.45,japan,ramen,regional,published,,wheat,,,,,,,,,jra-2025|epsilon-method,basic,2026-08-04,,醤油|あっさり|細麺,,,,,,
jp-005,カレーラーメン,,,JP,01,hokkaido,,43.35,142.45,japan,ramen,regional,published,,wheat,,,,curry,,,,,jra-2025|epsilon-method,basic,2026-08-04,,カレー|香辛料,,,,,,
jp-006,上川ラーメン,,,JP,01,hokkaido,,43.35,142.45,japan,ramen,regional,published,,wheat,,,,,,,,,jra-2025|epsilon-method,basic,2026-08-04,,,,,,,,
jp-007,天ぷらラーメン,,,JP,01,hokkaido,,43.35,142.45,japan,ramen,regional,published,,wheat,,,,tempura,,,,,jra-2025|epsilon-method,basic,2026-08-04,,天ぷら,,,,,,
jp-008,中標津ミルキーラーメン,,,JP,01,hokkaido,,43.35,142.45,japan,ramen,regional,published,,wheat,,,,milk,,,,,jra-2025|epsilon-method,basic,2026-08-04,,乳製品|まろやか,,,,,,
jp-009,オホーツク干貝柱ラーメン,,,JP,01,hokkaido,,43.35,142.45,japan,ramen,regional,published,,wheat,,,,shellfish,,,,,jra-2025|epsilon-method,basic,2026-08-04,,貝のうま味,,,,,,
jp-010,旭川ホルメン,,,JP,01,hokkaido,,43.35,142.45,japan,ramen,regional,published,,wheat,,,,offal,,,,,jra-2025|epsilon-method,basic,2026-08-04,,もつ,,,,,,
jp-011,ガタタンラーメン,,,JP,01,hokkaido,,43.35,142.45,japan,ramen,regional,published,,wheat,,,,,,,,,jra-2025|epsilon-method,basic,2026-08-04,,,,,,,,
jp-012,稚内ラーメン,,,JP,01,hokkaido,,43.35,142.45,japan,ramen,regional,published,,wheat,,,,,,,,,jra-2025|epsilon-method,basic,2026-08-04,,,,,,,,
jp-013,利尻ラーメン,,,JP,01,hokkaido,,43.35,142.45,japan,ramen,regional,published,,wheat,,,,,,,,,jra-2025|epsilon-method,basic,2026-08-04,,,,,,,,
jp-014,津軽中華そば,,,JP,02,tohoku,,40.82,140.74,japan,ramen,regional,published,,wheat,,,,,,,,,jra-2025|epsilon-method,basic,2026-08-04,,,,,,,,
jp-015,味噌カレー牛乳ラーメン,,,JP,02,tohoku,,40.82,140.74,japan,ramen,regional,published,,wheat,,,,miso|curry|milk,,,,,jra-2025|epsilon-method,basic,2026-08-04,,味噌|発酵のコク|カレー|香辛料|乳製品|まろやか,,,,,,
jp-016,濃厚津軽煮干しラーメン,,,JP,02,tohoku,,40.82,140.74,japan,ramen,regional,published,,wheat,,,,niboshi|rich,,,,,jra-2025|epsilon-method,basic,2026-08-04,,煮干し|濃厚,,,,,,
jp-017,しじみラーメン,,,JP,02,tohoku,,40.82,140.74,japan,ramen,regional,published,,wheat,,,,shellfish,,,,,jra-2025|epsilon-method,basic,2026-08-04,,貝のうま味,,,,,,
jp-018,つゆやきそば,,,JP,02,tohoku,,40.82,140.74,japan,yakisoba,regional,published,,wheat,,,,,,,,,jra-2025|epsilon-method,basic,2026-08-04,,,,,,,,
jp-019,八戸ラーメン,,,JP,02,tohoku,,40.82,140.74,japan,ramen,regional,published,,wheat,,,,,,,,,jra-2025|epsilon-method,basic,2026-08-04,,,,,,,,
jp-020,宮古ラーメン,,,JP,03,tohoku,,39.7,141.15,japan,ramen,regional,published,,wheat,,,,,,,,,jra-2025|epsilon-method,basic,2026-08-04,,,,,,,,
jp-021,釜石ラーメン,,,JP,03,tohoku,,39.7,141.15,japan,ramen,regional,published,,wheat,,,,,,,,,jra-2025|epsilon-method,basic,2026-08-04,,,,,,,,
jp-022,五穀ラーメン,,,JP,03,tohoku,,39.7,141.15,japan,ramen,regional,published,,wheat,,,,,,,,,jra-2025|epsilon-method,basic,2026-08-04,,,,,,,,
jp-023,三陸磯ラーメン,,,JP,03,tohoku,,39.7,141.15,japan,ramen,regional,published,,wheat,,,,,,,,,jra-2025|epsilon-method,basic,2026-08-04,,,,,,,,
jp-024,大船渡さんまラーメン,,,JP,03,tohoku,,39.7,141.15,japan,ramen,regional,published,,wheat,,,,saury,,,,,jra-2025|epsilon-method,basic,2026-08-04,,,,,,,,
jp-025,じゃじゃ麺,,,JP,03,tohoku,,39.7,141.15,japan,other,regional,published,,wheat,,,,,,,,,jra-2025|epsilon-method,basic,2026-08-04,,,,,,,,
jp-026,盛岡冷麺,,,JP,03,tohoku,,39.7,141.15,japan,other,regional,published,,wheat,,,,cold|starch_noodle,,,,,jra-2025|epsilon-method,basic,2026-08-04,,冷製|さっぱり|でんぷん質の強い麺|強い弾力,,,,,,
jp-027,江戸系ラーメン,,,JP,05,tohoku,,39.72,140.1,japan,ramen,regional,published,,wheat,,,,,,,,,jra-2025|epsilon-method,basic,2026-08-04,,,,,,,,
jp-028,十文字ラーメン,,,JP,05,tohoku,,39.72,140.1,japan,ramen,regional,published,,wheat,,,,,,,,,jra-2025|epsilon-method,basic,2026-08-04,,,,,,,,
jp-029,稲庭中華そば,,,JP,05,tohoku,,39.72,140.1,japan,ramen,regional,published,,wheat,,,,thin_noodle,,,,,jra-2025|epsilon-method,basic,2026-08-04,,細麺,,,,,,
jp-030,かつラーメン,,,JP,05,tohoku,,39.72,140.1,japan,ramen,regional,published,,wheat,,,,cutlet,,,,,jra-2025|epsilon-method,basic,2026-08-04,,カツ,,,,,,
jp-031,秋田天ぷら中華,,,JP,05,tohoku,,39.72,140.1,japan,ramen,regional,published,,wheat,,,,tempura,,,,,jra-2025|epsilon-method,basic,2026-08-04,,天ぷら,,,,,,
jp-032,辛味噌ラーメン,,,JP,04,tohoku,,38.27,140.87,japan,ramen,regional,published,,wheat,,,,miso|spicy,,,,,jra-2025|epsilon-method,basic,2026-08-04,,味噌|発酵のコク|辛味|香辛料,,,,,,
jp-033,冷やしラーメン,,,JP,06,tohoku,,38.24,140.36,japan,ramen,regional,published,,wheat,,,,cold,,,,,jra-2025|epsilon-method,basic,2026-08-04,,冷製|さっぱり,,,,,,
