id,slug,name,local_name,aliases,country_code,prefecture_codes,region_codes,city,lat,lon,domain,noodle_category,cultural_scope,publication_status,form,noodle_materials,noodle_shape,broth_bases,seasonings,ingredients,tags,keywords,summary,background,variation,allergen_note,tradition,uniqueness,adventure,parent_style_ids,related_ids,bridge_ids,public_source_ids,verification_level,reviewed_at,score_method,search_text
jp-style-ramen-shoyu,ramen-shoyu,醤油ラーメン,,,JP,,,,,,japan,ramen,standard,published,soup,小麦粉|かんすい|食塩|卵（製品による）,細麺から太麺、直線から縮れまで幅広い中華麺,鶏|豚|魚介|昆布|野菜（店による）,醤油だれ,チャーシュー|メンマ|ねぎ|なると|のり等,soy_sauce|soup|classic|broad_variation|animal_or_seafood|japanese_seasoning,醤油|中華そば|しょうゆラーメン|定番ラーメン,醤油だれを味の軸に据えたラーメン。澄んだ鶏・魚介系から濃厚な動物系まで幅があり、日本で最も広く見られる基本スタイルの一つ。,中国由来の麺料理へ日本の醤油文化が取り込まれて発達した。ご当地ラーメンにも醤油を主軸にする例が多く、特定地域に限定しない定番スタイルとして扱う。,醤油の種類、色、甘さ、香り、だし、油、麺、具材の幅が非常に大きい。淡麗な清湯から濃厚な豚骨醤油までを一つの代表値で完全には表せない。,小麦・大豆を含むことが多い。卵、豚肉、鶏肉、魚介、乳、ごま等は店舗ごとに異なる。,5.0,2.4,1.0,,jp-style-ramen-shio|jp-style-ramen-miso,,src-standard-ramen-dictionary|src-standard-chinese-noodle|src-standard-maff-hokkaido-ramen,reviewed,2026-08-10,editorial_source_review_v1,醤油ラーメン ramen soy_sauce soup classic broad_variation animal_or_seafood japanese_seasoning 醤油 中華そば しょうゆラーメン 定番ラーメン 定番スタイル
jp-style-ramen-shio,ramen-shio,塩ラーメン,,,JP,,,,,,japan,ramen,standard,published,soup,小麦粉|かんすい|食塩|卵（製品による）,細めから中太を中心に、直線・縮れの両方がある中華麺,鶏|豚|魚介|昆布|貝|野菜（店による）,塩だれ,チャーシュー|メンマ|ねぎ|のり|麩等,salt_tare|soup|clear_broth_common|delicate|broad_variation,塩|しおラーメン|塩だれ|定番ラーメン,塩だれを味の軸にしたラーメン。透明感のある清湯が多い一方、鶏白湯や豚骨へ塩だれを合わせる例もある。,塩味の麺スープは中国料理にも見られ、日本では函館などのご当地ラーメンとともに定番化した。だしや香味油が直接感じられやすいスタイル。,塩そのものの種類よりも、鶏・魚介・貝・昆布などのだし、油、白湯か清湯かで印象が大きく変わる。,小麦を含むことが多い。卵、鶏・豚、魚介、貝、大豆、ごま等は店舗ごとに異なる。,4.8,2.5,1.2,,jp-style-ramen-shoyu|jp-style-ramen-tori-paitan,,src-standard-ramen-dictionary|src-standard-chinese-noodle|src-standard-maff-hokkaido-ramen,reviewed,2026-08-10,editorial_source_review_v1,塩ラーメン ramen salt_tare soup clear_broth_common delicate broad_variation 塩 しおラーメン 塩だれ 定番ラーメン 定番スタイル
jp-style-ramen-miso,ramen-miso,味噌ラーメン,,,JP,,,,,,japan,ramen,standard,published,soup,小麦粉|かんすい|食塩|卵（製品による）,中太から太め、縮れ麺を含む中華麺,豚|鶏|魚介|野菜（店による）,味噌だれ|醤油・香辛料等の補助調味（店による）,チャーシュー|炒め野菜|もやし|ねぎ|コーン|バター等,miso|fermented|rich|vegetables_common|soup|warming,味噌|みそラーメン|札幌味噌|定番ラーメン,味噌だれを主役にするラーメン。発酵由来の香りとコクがあり、炒め野菜や香味油を合わせた濃厚な構成が多い。,札幌で定番化した味噌ラーメンが全国へ広がり、現在は地域や店ごとに多様な味噌・スープ・香辛料が使われる。,赤・白・合わせ味噌、甘さ、辛味、スープ濃度、野菜炒め、油、にんにく、バター等の差が大きい。,小麦・大豆を含むことが多い。卵、豚・鶏、魚介、乳、ごま等は店舗ごとに異なる。,4.8,3.1,1.3,,jp-style-ramen-shoyu|jp-style-ramen-tori-paitan,jp-style-udon-curry,src-standard-ramen-dictionary|src-standard-maff-hokkaido-ramen|src-standard-chinese-noodle,reviewed,2026-08-10,editorial_source_review_v1,味噌ラーメン ramen miso fermented rich vegetables_common soup warming 味噌 みそラーメン 札幌味噌 定番ラーメン 定番スタイル
jp-style-ramen-tonkotsu,ramen-tonkotsu,豚骨ラーメン,,とんこつラーメン,JP,,,,,,japan,ramen,standard,published,soup,小麦粉|かんすい|食塩|卵（製品による）,細い直麺が代表的だが、中太麺を用いる地域・店もある,豚骨,塩だれまたは醤油だれ,チャーシュー|ねぎ|きくらげ|紅しょうが|ごま等,pork_bone|white_broth|emulsified|rich|animal_forward|thin_noodle_common,豚骨|とんこつ|白濁|九州ラーメン|定番ラーメン,豚骨を長時間炊き、脂肪やゼラチン質を乳化させた白濁スープを軸にするラーメン。強い豚のうま味と細麺の組み合わせが代表的。,久留米を発祥地とする説明が広く知られ、九州各地で独自に発達した。現在は全国で濃度・香り・たれ・麺の異なる多様な豚骨ラーメンが提供される。,呼び戻し・取り切り、炊き時間、乳化、骨の部位、香り、塩・醤油だれ、麺の太さで大きく変わる。,小麦・豚肉を含む。大豆、卵、ごま、魚介、乳等は店舗ごとに異なる。,4.8,3.8,2.0,,jp-style-ramen-tori-paitan|jp-style-ramen-tsukemen,jp-style-ramen-tori-paitan,src-standard-ramen-dictionary|src-standard-kurume-tonkotsu|src-standard-chinese-noodle,reviewed,2026-08-10,editorial_source_review_v1,豚骨ラーメン とんこつラーメン ramen pork_bone white_broth emulsified rich animal_forward thin_noodle_common 豚骨 とんこつ 白濁 九州ラーメン 定番ラーメン 定番スタイル
jp-style-ramen-tori-paitan,ramen-tori-paitan,鶏白湯ラーメン,,,JP,,,,,,japan,ramen,standard,published,soup,小麦粉|かんすい|食塩|卵（製品による）,中細から中太の中華麺が多い,鶏ガラ|丸鶏|鶏皮・もみじ等|野菜・魚介（店による）,塩だれまたは醤油だれ,鶏チャーシュー|ねぎ|玉ねぎ|水菜|メンマ等,chicken_paitan|white_broth|emulsified|creamy|animal_forward|rich,鶏白湯|とりぱいたん|白湯|鶏そば|定番ラーメン,鶏を長時間炊き、脂肪とゼラチン質を乳化させた白濁スープを使うラーメン。クリーミーな口当たりと凝縮した鶏のうま味が特徴。,中華料理の白湯技法を基盤に、鶏を主体とした濃厚ラーメンとして広がった。塩・醤油・味噌、野菜ポタージュ、魚介との組み合わせもある。,鶏の部位、乳化度、粘度、野菜・魚介、たれ、香味油により、軽い泡系から非常に濃厚なタイプまで幅がある。,小麦・鶏肉を含む。卵、大豆、魚介、乳、ごま等は店舗ごとに異なる。,3.8,3.6,2.0,,jp-style-ramen-tonkotsu|jp-style-ramen-shio,jp-style-ramen-tonkotsu,src-standard-ramen-dictionary|src-standard-ryus-tori-paitan|src-standard-kofu-tori-paitan,reviewed,2026-08-10,editorial_source_review_v1,鶏白湯ラーメン ramen chicken_paitan white_broth emulsified creamy animal_forward rich 鶏白湯 とりぱいたん 白湯 鶏そば 定番ラーメン 定番スタイル
jp-style-ramen-niboshi,ramen-niboshi,煮干しラーメン,,,JP,,,,,,japan,ramen,standard,published,soup,小麦粉|かんすい|食塩|卵（製品による）,細麺から太麺まで幅広い中華麺,いわし煮干し|焼き干し|あじ・あご等の干物|動物系（店による）,醤油だれ|塩だれ|味噌だれ（店による）,チャーシュー|ねぎ|メンマ|のり|煮干し粉等,niboshi|dried_fish|seafood_forward|dashi_forward|soup|broad_variation,煮干し|にぼし|焼き干し|魚介ラーメン|定番ラーメン,煮干し・焼き干しをだしの主役にするラーメン。穏やかな和風だしから、苦味や香りまで前面に出す濃厚タイプまで幅がある。,煮干しはラーメンスープで広く用いられてきた魚介素材で、津軽などでは地域文化として強く発達した。,魚種、使用量、頭・内臓処理、抽出温度、動物系との混合、たれにより魚介感・苦味・濃厚さが大きく変わる。,小麦・魚を含む。大豆、卵、豚・鶏、乳等は店舗ごとに異なる。,4.4,3.8,2.5,,jp-style-ramen-shoyu|jp-style-ramen-tsukemen,,src-standard-ramen-dictionary|src-standard-aomori-niboshi|src-standard-chinese-noodle,reviewed,2026-08-10,editorial_source_review_v1,煮干しラーメン ramen niboshi dried_fish seafood_forward dashi_forward soup broad_variation 煮干し にぼし 焼き干し 魚介ラーメン 定番ラーメン 定番スタイル
jp-style-ramen-tsukemen,ramen-tsukemen,つけ麺,,,JP,,,,,,japan,ramen,standard,published,dipping,小麦粉|かんすい|食塩|卵（製品による）,中太から極太、もちもち・強いコシを重視した中華麺が多い,鶏|豚|魚介|野菜等,醤油だれ|塩だれ|味噌だれ|酢・砂糖・唐辛子等（店による）,チャーシュー|メンマ|ねぎ|魚粉|のり等,dipping|separate_soup|thick_noodle_common|strong_tare|cold_noodle_common|noodle_forward,つけ麺|つけめん|特製もりそば|濃厚つけだれ|定番ラーメン,ゆでた中華麺と濃いめのつけ汁を別々に供し、麺をつけて食べるスタイル。冷水で締めた太麺と、酸味・甘味・辛味を含む強いつけ汁が代表的。,特製もりそばなどを源流に発達し、現代では極太麺、濃厚な動物魚介、魚粉を使うタイプを含め独立した一大様式となった。,麺の温冷、太さ、つけ汁の濃度、酸味・甘味・辛味、動物魚介、清湯・白湯、スープ割りまで幅が大きい。,小麦を含む。大豆、卵、豚・鶏、魚介、ごま、乳等は店舗ごとに異なる。,3.9,4.2,1.8,,jp-style-ramen-aburasoba-mazesoba|jp-style-ramen-niboshi,,src-standard-ramen-dictionary|src-standard-ganja-tsukemen|src-standard-ganja-history,reviewed,2026-08-10,editorial_source_review_v1,つけ麺 ramen dipping separate_soup thick_noodle_common strong_tare cold_noodle_common noodle_forward つけ麺 つけめん 特製もりそば 濃厚つけだれ 定番ラーメン 定番スタイル
jp-style-ramen-aburasoba-mazesoba,ramen-aburasoba-mazesoba,油そば・まぜそば,,油そば|まぜそば|汁なしラーメン,JP,,,,,,japan,ramen,standard,published,sauce,小麦粉|かんすい|食塩|卵（製品による）,中太から極太の中華麺が多い,少量のスープ・だしを使う場合がある,醤油だれ|香味油|酢|辣油|肉味噌等（店による）,チャーシューまたはひき肉|ねぎ|のり|メンマ|卵黄|にんにく等,brothless|mixed_noodle|oil_tare|strong_sauce|thick_noodle_common|customizable,油そば|まぜそば|汁なし|台湾まぜそば|定番ラーメン,丼の底のたれと香味油を麺へ絡めて食べる、スープをほとんど持たない中華麺スタイル。油そばから肉味噌・香辛料を強く使うまぜそばまで含む。,油そばとして発達した汁なし麺の系譜に、台湾まぜそばなど具材・辛味・にんにくを強めた派生が加わり、定番化した。,油の量、醤油だれ、酢・辣油、肉味噌、卵黄、魚粉、にんにく、辛味、追い飯など非常に幅が大きい。,小麦・大豆を含むことが多い。卵、豚肉、魚介、ごま、乳、にんにく等は店舗ごとに異なる。,3.6,4.1,2.2,,jp-style-ramen-tsukemen,jp-style-yakisoba-sauce,src-standard-ramen-dictionary|src-standard-chinese-noodle|src-standard-nagoya-taiwan-maze,reviewed,2026-08-10,editorial_source_review_v1,油そば・まぜそば 油そば まぜそば 汁なしラーメン ramen brothless mixed_noodle oil_tare strong_sauce thick_noodle_common customizable 油そば まぜそば 汁なし 台湾まぜそば 定番ラーメン 定番スタイル
jp-style-udon-kake,udon-kake,かけうどん,,,JP,,,,,,japan,udon,standard,published,soup,小麦粉|食塩|水,中太から太めのうどん,いりこ|かつお節|昆布|さば節等,醤油|塩|みりん,ねぎ|天かす|しょうが|かまぼこ等,hot_soup|dashi_forward|simple|classic|udon,かけうどん|温うどん|だし|定番うどん,ゆでたうどんへ温かいだしつゆをたっぷりかける、最も基本的なうどんスタイルの一つ。,地域ごとにいりこ、かつお、昆布、醤油の組み合わせが異なり、麺とだしの違いを素直に比べやすい。,麺の太さ・硬さ、つゆの色・甘さ・塩味、だし、薬味、温度は地域・店で大きく異なる。,小麦・大豆・魚介を含むことが多い。卵、練り物、ごま等は店舗ごとに異なる。,5.0,2.0,0.8,,jp-style-udon-bukkake|jp-style-udon-kamaage|jp-style-udon-zaru,,src-standard-udon-general|src-standard-kagawa-mainmenu,reviewed,2026-08-10,editorial_source_review_v1,かけうどん udon hot_soup dashi_forward simple classic udon かけうどん 温うどん だし 定番うどん 定番スタイル
jp-style-udon-bukkake,udon-bukkake,ぶっかけうどん,,,JP,,,,,,japan,udon,standard,published,sauce,小麦粉|食塩|水,中太から太め、冷水で締めて強いコシを出すことが多い,濃いめのだし,醤油|みりん|塩,ねぎ|大根おろし|しょうが|すだち・レモン|天かす等,concentrated_dashi|poured_sauce|cold_or_hot|firm_noodle|mixed,ぶっかけうどん|濃いだし|大根おろし|定番うどん,冷水で締めた麺などへ、濃いめのつけだしを直接かけ、薬味と混ぜて食べるうどん。温かい形もある。,つけ汁を別添えにするざるうどんとは異なり、少量の濃いだしを麺へ直接かける提供形式として定着した。,温冷、だしの濃さ、醤油、甘さ、大根おろし、柑橘、天ぷら等の具は店で異なる。,小麦・大豆・魚介を含むことが多い。天ぷら、卵、ごま等は店舗ごとに異なる。,4.4,3.0,1.0,,jp-style-udon-kake|jp-style-udon-zaru,jp-style-soba-mori-zaru,src-standard-udon-general|src-standard-kagawa-mainmenu|src-standard-bukkake-recipe,reviewed,2026-08-10,editorial_source_review_v1,ぶっかけうどん udon concentrated_dashi poured_sauce cold_or_hot firm_noodle mixed ぶっかけうどん 濃いだし 大根おろし 定番うどん 定番スタイル
