dish_id,tag
jp-style-ramen-aburasoba-mazesoba,brothless
jp-style-ramen-aburasoba-mazesoba,customizable
jp-style-ramen-aburasoba-mazesoba,mixed_noodle
jp-style-ramen-aburasoba-mazesoba,oil_tare
jp-style-ramen-aburasoba-mazesoba,strong_sauce
jp-style-ramen-aburasoba-mazesoba,thick_noodle_common
jp-style-ramen-miso,fermented
jp-style-ramen-miso,miso
jp-style-ramen-miso,rich
jp-style-ramen-miso,soup
jp-style-ramen-miso,vegetables_common
jp-style-ramen-miso,warming
jp-style-ramen-niboshi,broad_variation
jp-style-ramen-niboshi,dashi_forward
jp-style-ramen-niboshi,dried_fish
jp-style-ramen-niboshi,niboshi
jp-style-ramen-niboshi,seafood_forward
jp-style-ramen-niboshi,soup
jp-style-ramen-shio,broad_variation
jp-style-ramen-shio,clear_broth_common
jp-style-ramen-shio,delicate
jp-style-ramen-shio,salt_tare
jp-style-ramen-shio,soup
jp-style-ramen-shoyu,animal_or_seafood
jp-style-ramen-shoyu,broad_variation
jp-style-ramen-shoyu,classic
jp-style-ramen-shoyu,japanese_seasoning
jp-style-ramen-shoyu,soup
jp-style-ramen-shoyu,soy_sauce
jp-style-ramen-tonkotsu,animal_forward
jp-style-ramen-tonkotsu,emulsified
jp-style-ramen-tonkotsu,pork_bone
jp-style-ramen-tonkotsu,rich
jp-style-ramen-tonkotsu,thin_noodle_common
jp-style-ramen-tonkotsu,white_broth
jp-style-ramen-tori-paitan,animal_forward
jp-style-ramen-tori-paitan,chicken_paitan
jp-style-ramen-tori-paitan,creamy
jp-style-ramen-tori-paitan,emulsified
jp-style-ramen-tori-paitan,rich
jp-style-ramen-tori-paitan,white_broth
jp-style-ramen-tsukemen,cold_noodle_common
jp-style-ramen-tsukemen,dipping
jp-style-ramen-tsukemen,noodle_forward
jp-style-ramen-tsukemen,separate_soup
jp-style-ramen-tsukemen,strong_tare
jp-style-ramen-tsukemen,thick_noodle_common
jp-style-soba-kake,classic
jp-style-soba-kake,dashi_forward
jp-style-soba-kake,hot_soup
jp-style-soba-kake,simple
jp-style-soba-kake,soba
jp-style-soba-kamo-nanban,animal_umami
jp-style-soba-kamo-nanban,dashi
jp-style-soba-kamo-nanban,duck
jp-style-soba-kamo-nanban,grilled_leek
jp-style-soba-kamo-nanban,hot_soup
jp-style-soba-kamo-nanban,nanban
jp-style-soba-mori-zaru,classic
jp-style-soba-mori-zaru,cold
jp-style-soba-mori-zaru,dipping
jp-style-soba-mori-zaru,mori_zaru
jp-style-soba-mori-zaru,noodle_aroma
jp-style-soba-mori-zaru,rinsed
jp-style-soba-tempura,dashi
jp-style-soba-tempura,fried_topping
jp-style-soba-tempura,hot_soup_common
jp-style-soba-tempura,rich
jp-style-soba-tempura,tempura
jp-style-udon-bukkake,cold_or_hot
jp-style-udon-bukkake,concentrated_dashi
jp-style-udon-bukkake,firm_noodle
jp-style-udon-bukkake,mixed
jp-style-udon-bukkake,poured_sauce
jp-style-udon-curry,curry
jp-style-udon-curry,dashi_curry
jp-style-udon-curry,rich
jp-style-udon-curry,spiced
jp-style-udon-curry,thick_soup
jp-style-udon-curry,warming
jp-style-udon-kake,classic
jp-style-udon-kake,dashi_forward
jp-style-udon-kake,hot_soup
jp-style-udon-kake,simple
jp-style-udon-kake,udon
jp-style-udon-kamaage,dipping
jp-style-udon-kamaage,hot_noodle_water
jp-style-udon-kamaage,not_rinsed
jp-style-udon-kamaage,soft
jp-style-udon-kamaage,wheat_aroma
jp-style-udon-zaru,cold
jp-style-udon-zaru,dipping
jp-style-udon-zaru,firm_noodle
jp-style-udon-zaru,rinsed
jp-style-udon-zaru,smooth
jp-style-yakisoba-ankake,crispy_soft
jp-style-yakisoba-ankake,fried_noodle
jp-style-yakisoba-ankake,rich_umami
jp-style-yakisoba-ankake,seafood_or_meat
jp-style-yakisoba-ankake,starchy_sauce
jp-style-yakisoba-ankake,vegetables
jp-style-yakisoba-salt,fried
jp-style-yakisoba-salt,garlic_optional
jp-style-yakisoba-salt,light_color
jp-style-yakisoba-salt,roasted
jp-style-yakisoba-salt,salt_seasoning
jp-style-yakisoba-salt,seafood_or_meat
jp-style-yakisoba-sauce,classic
jp-style-yakisoba-sauce,fried
jp-style-yakisoba-sauce,pork_common
jp-style-yakisoba-sauce,roasted
jp-style-yakisoba-sauce,vegetables
jp-style-yakisoba-sauce,worcestershire_sauce
