dish_id,score_method,score_note,richness_typical,richness_min,richness_max,oiliness_typical,oiliness_min,oiliness_max,saltiness_typical,saltiness_min,saltiness_max,sweetness_typical,sweetness_min,sweetness_max,sourness_typical,sourness_min,sourness_max,heat_typical,heat_min,heat_max,umami_typical,umami_min,umami_max,animalIntensity_typical,animalIntensity_min,animalIntensity_max,seafoodIntensity_typical,seafoodIntensity_min,seafoodIntensity_max,spiceIntensity_typical,spiceIntensity_min,spiceIntensity_max,herbalIntensity_typical,herbalIntensity_min,herbalIntensity_max,fermentation_typical,fermentation_min,fermentation_max,roastedAroma_typical,roastedAroma_min,roastedAroma_max,garlicIntensity_typical,garlicIntensity_min,garlicIntensity_max,dashiIntensity_typical,dashiIntensity_min,dashiIntensity_max,sauceIntensity_typical,sauceIntensity_min,sauceIntensity_max,noodleAroma_typical,noodleAroma_min,noodleAroma_max,thickness,width,firmness,elasticity,chewiness,smoothness,noodle_notes
jp-style-ramen-shoyu,editorial_source_review_v1,公的・専門資料の記述と典型的な調理構成をもとにしたEpsilonLab編集値。公式評価や官能試験値ではない。,2.8,1.4,4.2,2.2,0.8,3.6,3.3,2.3,4.3,1.3,0.3,2.3,0.2,0.0,1.2,0.2,0.0,1.2,3.9,2.9,4.9,2.4,1.0,3.8,1.9,0.5,3.3,0.5,0.0,1.5,0.3,0.0,1.3,1.7,0.7,2.7,1.1,0.1,2.1,0.7,0.0,1.7,2.9,1.5,4.3,4.0,3.0,5.0,2.7,1.7,3.7,2.8,2.6,3.2,3.1,3.1,3.3,細麺から太麺、直線から縮れまで幅広い中華麺
jp-style-ramen-shio,editorial_source_review_v1,公的・専門資料の記述と典型的な調理構成をもとにしたEpsilonLab編集値。公式評価や官能試験値ではない。,2.2,0.9,3.5,1.8,0.5,3.1,3.5,2.6,4.4,0.9,0.0,1.8,0.2,0.0,1.1,0.2,0.0,1.1,3.7,2.8,4.6,2.0,0.7,3.3,2.1,0.8,3.4,0.5,0.0,1.4,0.3,0.0,1.2,0.4,0.0,1.3,0.7,0.0,1.6,0.5,0.0,1.4,3.2,1.9,4.5,3.4,2.5,4.3,2.7,1.8,3.6,2.5,2.3,3.1,3.0,2.9,3.5,細めから中太を中心に、直線・縮れの両方がある中華麺
jp-style-ramen-miso,editorial_source_review_v1,公的・専門資料の記述と典型的な調理構成をもとにしたEpsilonLab編集値。公式評価や官能試験値ではない。,3.9,2.7,5.0,3.1,1.9,4.3,3.4,2.5,4.3,2.3,1.1,3.5,0.2,0.0,1.1,0.2,0.0,1.4,4.1,3.2,5.0,2.6,1.7,3.5,1.4,0.5,2.3,1.2,0.0,2.4,0.3,0.0,1.2,3.9,3.0,4.8,2.0,1.1,2.9,1.5,0.3,2.7,2.5,1.6,3.4,4.5,3.6,5.0,2.6,1.7,3.5,3.6,3.1,3.5,3.5,3.7,3.0,中太から太め、縮れ麺を含む中華麺
jp-style-ramen-tonkotsu,editorial_source_review_v1,公的・専門資料の記述と典型的な調理構成をもとにしたEpsilonLab編集値。公式評価や官能試験値ではない。,4.5,3.4,5.0,4.0,2.9,5.0,3.1,2.0,4.2,1.4,0.6,2.2,0.2,0.0,1.0,0.2,0.0,1.0,4.4,3.6,5.0,4.9,4.1,5.0,0.5,0.0,1.3,0.5,0.0,1.3,0.3,0.0,1.1,0.5,0.0,1.3,0.8,0.0,1.6,1.5,0.4,2.6,1.0,0.2,1.8,2.9,2.1,3.7,2.2,1.4,3.0,1.6,1.5,4.2,2.6,2.8,3.5,細い直麺が代表的だが、中太麺を用いる地域・店もある
jp-style-ramen-tori-paitan,editorial_source_review_v1,公的・専門資料の記述と典型的な調理構成をもとにしたEpsilonLab編集値。公式評価や官能試験値ではない。,4.2,3.0,5.0,3.6,2.4,4.8,3.0,2.1,3.9,1.6,0.7,2.5,0.2,0.0,1.1,0.2,0.0,1.1,4.4,3.5,5.0,4.6,3.7,5.0,1.0,0.0,2.2,0.5,0.0,1.4,0.3,0.0,1.2,0.5,0.0,1.4,0.8,0.0,1.7,0.8,0.0,1.7,1.8,0.6,3.0,3.0,2.1,3.9,2.5,1.6,3.4,3.0,2.8,3.2,3.3,3.4,3.2,中細から中太の中華麺が多い
jp-style-ramen-niboshi,editorial_source_review_v1,公的・専門資料の記述と典型的な調理構成をもとにしたEpsilonLab編集値。公式評価や官能試験値ではない。,2.9,1.5,4.3,1.7,0.3,3.1,3.2,2.3,4.1,1.1,0.2,2.0,0.2,0.0,1.1,0.2,0.0,1.1,4.5,3.6,5.0,1.4,0.0,2.8,4.8,3.4,5.0,0.5,0.0,1.4,0.3,0.0,1.2,0.7,0.0,1.6,1.6,0.2,3.0,0.4,0.0,1.3,4.7,3.8,5.0,3.2,2.3,4.1,2.8,1.9,3.7,2.8,2.5,3.4,3.1,3.2,3.1,細麺から太麺まで幅広い中華麺
jp-style-ramen-tsukemen,editorial_source_review_v1,公的・専門資料の記述と典型的な調理構成をもとにしたEpsilonLab編集値。公式評価や官能試験値ではない。,4.0,2.7,5.0,3.0,1.7,4.3,4.0,3.1,4.9,2.2,1.3,3.1,1.2,0.0,2.5,0.6,0.0,1.9,4.5,3.6,5.0,3.1,1.8,4.4,3.1,1.8,4.4,0.8,0.0,1.7,0.3,0.0,1.2,0.8,0.0,1.7,1.5,0.6,2.4,1.0,0.1,1.9,3.4,2.5,4.3,4.6,3.7,5.0,4.0,3.1,4.9,4.5,3.8,4.3,4.2,4.6,3.3,中太から極太、もちもち・強いコシを重視した中華麺が多い
jp-style-ramen-aburasoba-mazesoba,editorial_source_review_v1,公的・専門資料の記述と典型的な調理構成をもとにしたEpsilonLab編集値。公式評価や官能試験値ではない。,3.8,2.8,4.8,4.3,2.8,5.0,3.8,2.8,4.8,1.8,0.8,2.8,1.0,0.0,2.0,1.2,0.0,2.7,4.1,3.1,5.0,2.2,0.7,3.7,1.5,0.0,3.0,1.5,0.5,2.5,0.3,0.0,1.3,0.8,0.0,1.8,2.8,1.8,3.8,2.4,0.9,3.9,0.8,0.0,1.8,4.6,3.6,5.0,3.8,2.8,4.8,4.0,3.3,4.0,4.0,4.4,3.0,中太から極太の中華麺が多い
jp-style-udon-kake,editorial_source_review_v1,公的・専門資料の記述と典型的な調理構成をもとにしたEpsilonLab編集値。公式評価や官能試験値ではない。,1.9,1.0,2.8,0.5,0.0,1.4,2.7,1.8,3.6,1.4,0.5,2.3,0.2,0.0,1.1,0.2,0.0,1.1,3.7,2.8,4.6,0.5,0.0,1.4,2.7,1.8,3.6,0.5,0.0,1.4,0.3,0.0,1.2,0.5,0.0,1.4,0.4,0.0,1.3,0.1,0.0,1.0,4.2,3.3,5.0,2.2,1.3,3.1,3.0,2.1,3.9,3.5,3.2,3.5,4.0,4.0,4.0,中太から太めのうどん
jp-style-udon-bukkake,editorial_source_review_v1,公的・専門資料の記述と典型的な調理構成をもとにしたEpsilonLab編集値。公式評価や官能試験値ではない。,2.1,1.2,3.0,0.5,0.0,1.4,3.3,2.4,4.2,1.8,0.9,2.7,0.2,0.0,1.1,0.2,0.0,1.1,3.6,2.7,4.5,0.4,0.0,1.3,2.5,1.6,3.4,0.5,0.0,1.4,0.3,0.0,1.2,0.6,0.0,1.5,0.5,0.0,1.4,0.1,0.0,1.0,3.3,2.4,4.2,3.9,3.0,4.8,3.5,2.6,4.4,3.6,3.2,4.3,4.4,4.3,3.8,中太から太め、冷水で締めて強いコシを出すことが多い
