id,name,collection,country,prefecture,tag_count,tags,mapped_filter_count,mapped_filter_ids,mapped_groups,form,form_evidence,noodle_thickness,noodle_firmness,noodle_evidence,richness,tag_rich,tag_thick_noodle,derived_rich_candidate,derived_thick_candidate,derived_firm_candidate,rich_x_thick_candidate,review_priority,review_reasons
jp-001,札幌ラーメン,japan_local_ramen,日本,北海道,3,味噌|発酵のコク|炒め野菜,3,fermented|miso|vegetables,broth_seasoning|ingredient|taste_aroma,soup,default_or_unknown,3.1,2.8,explicit_or_rule,3.7,false,false,true,false,false,false,medium,form_default_or_unknown|rich_not_tagged
jp-002,旭川ラーメン,japan_local_ramen,日本,北海道,3,醤油|魚介|動物系と魚介の合わせ出汁,3,seafood_forward|seafood_ingredient|soy_sauce,broth_seasoning|ingredient,soup,default_or_unknown,2.7,2.8,default_only,2.7,false,false,false,false,false,false,medium,noodle_default_only|form_default_or_unknown
jp-003,函館ラーメン,japan_local_ramen,日本,北海道,5,塩|澄んだ味わい|淡麗|澄んだスープ|透明感のあるスープ,2,light|salt,broth_seasoning|taste_aroma,soup,default_or_unknown,2.7,2.8,default_only,1.4,false,false,false,false,false,false,medium,noodle_default_only|form_default_or_unknown
jp-004,釧路ラーメン,japan_local_ramen,日本,北海道,3,醤油|あっさり|細麺,3,light|soy_sauce|thin_noodle,broth_seasoning|noodle|taste_aroma,soup,default_or_unknown,1.7,3,explicit_or_rule,1.9,false,false,false,false,false,false,medium,form_default_or_unknown
jp-005,カレーラーメン,japan_local_ramen,日本,北海道,2,カレー|香辛料,2,curry|spicy,broth_seasoning|taste_aroma,soup,default_or_unknown,2.7,2.8,default_only,3.4,false,false,false,false,false,false,medium,noodle_default_only|form_default_or_unknown
jp-006,上川ラーメン,japan_local_ramen,日本,北海道,0,,0,,,soup,default_or_unknown,2.7,2.8,default_only,2.7,false,false,false,false,false,false,high,no_tags|no_mapped_filters|noodle_default_only|form_default_or_unknown
jp-007,天ぷらラーメン,japan_local_ramen,日本,北海道,1,天ぷら,1,tempura,ingredient,soup,default_or_unknown,2.7,2.8,default_only,3.2,false,false,false,false,false,false,medium,noodle_default_only|form_default_or_unknown
jp-008,中標津ミルキーラーメン,japan_local_ramen,日本,北海道,2,乳製品|まろやか,2,dairy|rich,ingredient|taste_aroma,soup,default_or_unknown,2.7,2.8,default_only,3.3,true,false,false,false,false,false,medium,noodle_default_only|form_default_or_unknown
jp-009,オホーツク干貝柱ラーメン,japan_local_ramen,日本,北海道,1,貝のうま味,2,seafood_forward|umami_forward,broth_seasoning|taste_aroma,soup,default_or_unknown,2.7,2.8,default_only,2.7,false,false,false,false,false,false,medium,noodle_default_only|form_default_or_unknown
jp-010,旭川ホルメン,japan_local_ramen,日本,北海道,1,もつ,1,offal,ingredient,soup,default_or_unknown,2.7,2.8,default_only,3.5,false,false,true,false,false,false,high,noodle_default_only|form_default_or_unknown|rich_not_tagged
