id,name,form,noodle_shape,noodle_thickness,noodle_width,noodle_firmness,noodle_elasticity,broth_bases,seasonings,ingredients,facet_ids,source_ids,review_note,verification_level,reviewed_at
jp-001,札幌ラーメン,soup,中太の縮れ麺,3.4,2.9,4.1,4.0,豚骨|鶏ガラ,味噌だれ,炒め野菜|もやし|ひき肉|ねぎ|チャーシュー|メンマ,rich|miso|animal_forward|firm_noodle|vegetables|garlic|soup|traditional,src-v230-jra-2025|src-v230-ramenmuseum-sapporo,中太で歯ごたえのある縮れ麺、味噌、ラード、にんにく、炒め野菜を中心像として確認。醤油・塩の店もあるため味噌は代表的特徴として扱う。,reviewed,2026-08-10
jp-002,旭川ラーメン,soup,低加水の細め〜中細縮れ麺,2.5,2.5,3.4,2.8,豚骨|魚介|煮干し,醤油だれ,ねぎ|チャーシュー|メンマ,soy_sauce|double_broth|seafood_forward|animal_forward|soup|traditional,src-v230-jra-2025|src-v230-ramenmuseum-asahikawa,低加水縮れ麺と、豚骨を主に魚介を合わせる醤油スープを確認。,reviewed,2026-08-10
jp-003,函館ラーメン,soup,縮れの少ない中細麺,2.4,2.4,3.0,2.8,豚骨|鶏ガラ,塩だれ,ねぎ|チャーシュー|メンマ,light|salt|soup|traditional,src-v230-jra-2025|src-v230-ramenmuseum-hakodade,透明で澄んだ塩味と縮れの少ない麺を中心像として確認。,reviewed,2026-08-10
jp-040,米沢ラーメン,soup,多加水の細い手もみ縮れ麺,2.1,2.3,3.3,4.1,鶏ガラ|豚骨|煮干し,醤油だれ,ねぎ|チャーシュー|メンマ|なると|のり,light|soy_sauce|thin_noodle|high_hydration_curly|soup|traditional,src-v230-jra-2025|src-v230-ramenmuseum-yonezawa,多加水の細縮れ麺と、鶏・豚・煮干し等のあっさり醤油スープを確認。,reviewed,2026-08-10
jp-042,喜多方ラーメン,soup,太めの多加水平打ち縮れ麺,3.8,4.0,3.6,4.4,豚骨|鶏ガラ|煮干し,醤油だれ,ねぎ|チャーシュー|メンマ,light|soy_sauce|thick_noodle|flat_noodle|elastic_noodle|breakfast_culture|soup|traditional,src-v230-jra-2025|src-v230-ramenmuseum-kitakata,太めの多加水平打ち縮れ麺、澄んだ醤油味、朝に食べる文化を確認。,reviewed,2026-08-10
jp-043,白河ラーメン,soup,多加水の幅広い手打ち・手もみ縮れ麺,3.2,4.2,3.8,4.2,豚骨|鶏ガラ,醤油だれ,ねぎ|チャーシュー|メンマ|なると|ほうれん草,light|soy_sauce|flat_noodle|firm_noodle|handmade|soup|traditional,src-v230-jra-2025|src-v230-ramenmuseum-shirakawa,幅広い多加水縮れ麺と澄んだ濃いめの醤油スープを確認。,reviewed,2026-08-10
jp-053,佐野ラーメン,soup,青竹打ちの高加水平打ち麺,3.0,4.0,2.8,3.8,鶏ガラ|豚骨|魚介（店による）,醤油だれ,ねぎ|チャーシュー|メンマ|なると,light|soy_sauce|flat_noodle|handmade|smooth_noodle|soup|traditional,src-v230-jra-2025|src-v230-ramenmuseum-sano,青竹打ちの平打ち高加水麺と、あっさり澄んだ醤油味を中心像として確認。,reviewed,2026-08-10
jp-069,東京ラーメン,soup,中細〜中太の縮れまたはストレート麺,2.7,2.6,3.0,3.0,鶏ガラ|豚骨|和風だし,醤油だれ,ねぎ|チャーシュー|なると|ほうれん草|メンマ,soy_sauce|double_broth|dashi_forward|soup|traditional,src-v230-jra-2025|src-v230-ramenmuseum-tokyo,澄んだ動物系スープへ和風だしを合わせる中庸な醤油ラーメンとして確認。,reviewed,2026-08-10
jp-075,家系ラーメン,soup,コシのある太めのストレート麺,3.8,3.5,4.0,3.6,豚骨|鶏ガラ,醤油だれ,チャーシュー|ほうれん草|のり|ねぎ,rich|pork_bone|animal_forward|soy_sauce|thick_noodle|firm_noodle|soup|traditional,src-v230-jra-2025|src-v230-ramenmuseum-yokohama,濃厚な豚骨醤油とコシのある太麺という家系の中核構造を確認。,reviewed,2026-08-10
jp-112,高山ラーメン,soup,細い縮れ麺,2.0,3.2,3.4,2.8,鶏ガラ|煮干し|かつお節|野菜,醤油|みりん,ねぎ|チャーシュー|メンマ,light|soy_sauce|dashi_forward|seafood_forward|thin_noodle|soup|traditional,src-v230-jra-2025|src-v230-ramenmuseum-takayama,和風だしを含む澄んだ醤油スープと細縮れ麺を確認。,reviewed,2026-08-10
